log_create_day_hour,timestamp,create_time,event_id,device_key,device_oaid,user_id,is_abroad,use_time,sdkint,model,cjy_version_code,cjy_version_name,channel,network_type,cf_connecting_ip,brand,ip_region,ip_state,ip_city,address_admin_area,address_country_code,address_locality,address_sublocality,address_latitude,address_longitude,event_uid,time_zone_id,harmony_os,error_message,is_login,event_type,app_build_id
2024-06-06_00,1.71717E+12,2024/5/31 23:46,A5025,24d234aa242a95326fa08c0b9ab543b2,0,0,255,0,31,HUAWEI LIO-AN00,17810,1.78.10,huawei,NETWORK_WIFI,240e:3b1:8669:a9a0:ca33:6d09:d911:3865,HUAWEI,CN,Beijing,Beijing,0,0,0,0,0,0,6b331c79023047faab3558b4953fa47c,Asia/Shanghai,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-06-06_00,1.71717E+12,2024/5/31 23:41,A5025,24d234aa242a95326fa08c0b9ab543b2,0,0,255,0,31,HUAWEI LIO-AN00,17810,1.78.10,huawei,NETWORK_WIFI,240e:3b1:8669:a9a0:ca33:6d09:d911:3865,HUAWEI,CN,Beijing,Beijing,0,0,0,0,0,0,c5f9c7421b3b4e06b141f9aaf69623c8,Asia/Shanghai,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-06-06_17,1.71716E+12,2024/5/31 21:26,A5025,de9675a7cc56fc19860bb704cd4d844e,0,0,255,0,29,HONOR HLK-AL00,17810,1.78.10,huawei,NETWORK_WIFI,240e:3b1:cb72:5430:75de:73da:7147:e2e7,HONOR,CN,Beijing,Beijing,0,0,0,0,0,0,69bd76309c0a4ff59a7c1a347934ce92,Asia/Shanghai,3.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_21,1.71716E+12,2024/5/31 21:29,A5025,c3b7786302849214bc04f1ede2f81852,0,0,1,0,31,HUAWEI ELS-AN00,17810,1.78.10,huawei,NETWORK_WIFI,202.151.214.20,HUAWEI,MY,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,0,0,0,0,0,0,df69103da74b4e73af4722ef76660ed1,Asia/Kuala_Lumpur,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_16,1.71714E+12,2024/5/31 15:59,A5025,c91cbafca4eb37cd9a61d69e37053512,0,866d04a4e93f4c04a78842f5da2da477,255,0,31,HUAWEI GLA-AL00,17810,1.78.10,huawei,NETWORK_4G,2408:8452:47f:fac6:8c06:9aff:feab:7048,HUAWEI,CN,Shanxi,Taiyuan,0,0,0,0,0,0,e6baab4b3fdc4e92a0bf6426f95af5f1,Asia/Shanghai,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311333
2024-05-31_20,1.71716E+12,2024/5/31 20:16,A5025,03d3db20f04b5915fe027d07e898c4ad,0,a6ca26dea94747a388be739007bb73cc,255,0,31,HUAWEI OCE-AN10,17810,1.78.10,huawei,NETWORK_WIFI,223.117.43.55,HUAWEI,CN,Xinjiang Uygur,Aksu,0,0,0,0,0,0,5a9e475ef25d415d881848b0e6ad5b1b,Asia/Shanghai,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:19,A5025,94a8c93ae41a6992668314a6e55e3acb,0,fa4a17d20e604e62a399a66da49988ff,255,0,31,HUAWEI ADA-AL00U,17810,1.78.10,huawei,NETWORK_4G,2409:8914:28f:d54:7871:6a86:9052:f78d,HUAWEI,CN,Liaoning,Shenyang,0,0,0,0,0,0,f5e9022bb2b1474a84349b4adef16197,Asia/Shanghai,4.2.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:22,A5025,93a7da44466563e8de38361509f6c516,0,b005eb6ad5b045c382b4a441c155600f,255,0,31,HUAWEI BAH4-AL10,17810,1.78.10,huawei,NETWORK_WIFI,2408:8210:9024:9080:1d7e:b91c:db69:398,HUAWEI,CN,Tianjin,Tianjin,0,0,0,0,0,0,0e6a2ebed6dc486caddcaf36c0c6c49f,Asia/Shanghai,3.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:23,A5025,2d155f267b049b3aa4ffb8a305ae794c,0,935f4705fcaa49d2adb3c0e158ea222d,255,0,31,HUAWEI ALT-AL10,17810,1.78.10,huawei,NETWORK_WIFI,118.119.59.234,HUAWEI,CN,Sichuan,Zigong,0,0,0,0,0,0,45454d9b1c1c44c5b756b3878fac56e2,Asia/Shanghai,4.2.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:21,A5025,03d3db20f04b5915fe027d07e898c4ad,0,a6ca26dea94747a388be739007bb73cc,255,0,31,HUAWEI OCE-AN10,17810,1.78.10,huawei,NETWORK_NO,2409:897c:5148:c4a9:9191:c437:d5e9:c49a,HUAWEI,CN,Beijing,Beijing,0,0,0,0,0,0,50958c598eda420986548be554de249c,Asia/Shanghai,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:21,A5025,03d3db20f04b5915fe027d07e898c4ad,0,a6ca26dea94747a388be739007bb73cc,255,0,31,HUAWEI OCE-AN10,17810,1.78.10,huawei,NETWORK_NO,2409:897c:5148:c4a9:9191:c437:d5e9:c49a,HUAWEI,CN,Beijing,Beijing,0,0,0,0,0,0,669b2e54a631463098dc42de7194c433,Asia/Shanghai,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:21,A5025,03d3db20f04b5915fe027d07e898c4ad,0,a6ca26dea94747a388be739007bb73cc,255,0,31,HUAWEI OCE-AN10,17810,1.78.10,huawei,NETWORK_NO,2409:897c:5148:c4a9:9191:c437:d5e9:c49a,HUAWEI,CN,Beijing,Beijing,0,0,0,0,0,0,3a3ffb89c0ff4abc830edb4638cf19a0,Asia/Shanghai,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:21,A5025,03d3db20f04b5915fe027d07e898c4ad,0,a6ca26dea94747a388be739007bb73cc,255,0,31,HUAWEI OCE-AN10,17810,1.78.10,huawei,NETWORK_WIFI,2409:897c:5148:c4a9:9191:c437:d5e9:c49a,HUAWEI,CN,Beijing,Beijing,0,0,0,0,0,0,6c4a5638b4cc4c2885777ee3bd6587c3,Asia/Shanghai,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:40,A5025,693c5667312c10932500f7909f8d431a,0,c814bf83d8a840af8283a5b77f0e0481,255,0,29,HUAWEI VOG-AL10,17810,1.78.10,huawei,NETWORK_4G,240e:476:981:da5:7ce1:7cba:c49a:eb7b,HUAWEI,CN,Beijing,Beijing,0,0,0,0,0,0,e2d07006374948ca964b550739a7daf0,Asia/Shanghai,2.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:42,A5025,08d4c3d71cd36673981093866162f024,0,0eff5a2235db425db2e9232f070dbfd2,255,0,31,HUAWEI LIO-AN00M,17810,1.78.10,huawei,NETWORK_WIFI,122.138.85.19,HUAWEI,CN,Jilin,Tonghua,0,0,0,0,0,0,a790fc47ad464e24992f53add0e1b5c2,Asia/Shanghai,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:44,A5025,022895601404a2cd8072516d0b86f0ed,0,1ab25c9f2b6b47339d9e45f9e76d10a2,255,0,31,HUAWEI ALT-AL00,17810,1.78.10,huawei,NETWORK_4G,2409:8910:ba09:a77c:5c7e:33ff:fe21:9238,HUAWEI,CN,Beijing,Beijing,0,0,0,0,0,0,91346584995140c4b8508d9cf819021b,Asia/Shanghai,4.2.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:37,A5025,94a8c93ae41a6992668314a6e55e3acb,0,fa4a17d20e604e62a399a66da49988ff,255,0,31,HUAWEI ADA-AL00U,17810,1.78.10,huawei,NETWORK_4G,2409:8914:28f:d54:7871:6a86:9052:f78d,HUAWEI,CN,Liaoning,Shenyang,0,0,0,0,0,0,c01e1e8571654659b9faac525a16b3d3,Asia/Shanghai,4.2.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:51,A5025,9c58848de190bd14cf6e50f2b749f809,0,fbe8eecc5f6c4d129e2530486ee29fd8,255,0,31,HUAWEI ALT-AL10,17810,1.78.10,huawei,NETWORK_NO,2408:8431:7000:4be:5152:2f04:7b67:8b57,HUAWEI,CN,Shanxi,Taiyuan,0,0,0,0,0,0,fc6a610506744e91bfe22dec51acd4a9,Asia/Shanghai,4.2.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:20,A5025,9e0138fb20a92b5cd86bd6d6f3b5807c,0,0,255,0,29,LIANTONG VP002,17810,1.78.10,huawei,NETWORK_WIFI,2409:8a14:22c:f654:ecb0:eec1:e598:2932,LIANTONG,CN,Beijing,Beijing,0,0,0,0,0,0,3d9af84b999f44279c71c78f0cd18eb6,Asia/Shanghai,2.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:56,A5025,a35453e795fd4b2874312cdc87d28379,0,0,255,0,31,HUAWEI LEM-AL00,17810,1.78.10,huawei,vpn,174.138.40.246,HUAWEI,US,New Jersey,North Bergen,0,0,0,0,0,0,4b33e507bd3d44a896d0bc439fb2594e,Asia/Shanghai,4.2.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_20,1.71716E+12,2024/5/31 20:57,A5025,b6a9eb19546cf03fb63fe73a63a9c7e4,0,63224a3840df4271bfdfa699ea92c240,255,0,31,HUAWEI CTR-AL20,17810,1.78.10,huawei,NETWORK_4G,240e:479:4c20:4f31:b749:3dd2:4f28:544b,HUAWEI,CN,Beijing,Beijing,0,0,0,0,0,0,017ffd40443b497fb579233eed5248eb,Asia/Shanghai,4.2.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_21,1.71716E+12,2024/5/31 21:01,A5025,75d1f96ff354f15e7cbf3accfb951993,0,0,255,0,30,OPPO PCPM00,17810,1.78.10,huawei,NETWORK_WIFI,112.116.209.141,OPPO,CN,Yunnan,Wenshan,0,0,0,0,0,0,18837b191e3441b996978d818bb090f7,Asia/Shanghai,0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_21,1.71716E+12,2024/5/31 21:08,A5025,b9e121ed9dd622b940631d5a17c45381,0,0ef161388a1842c0a6d630a481e88778,1,0,29,HUAWEI SPN-AL00,17810,1.78.10,huawei,vpn,2408:8207:9022:fe11:d12:e935:2c47:8b6d,HUAWEI,CN,Shanxi,Taiyuan,0,0,0,0,0,0,9354475b145d4ff5b6d60bc777b3d510,Asia/Shanghai,3.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
2024-05-31_21,1.71716E+12,2024/5/31 21:15,A5025,e0c51ace200162ddcf38a159999bd3ae,0,0,255,0,31,HUAWEI JEF-AN00,17810,1.78.10,huawei,NETWORK_WIFI,240e:341:55c1:e200:a439:d04a:58cf:7e6c,HUAWEI,CN,Beijing,Beijing,0,0,0,0,0,0,35d13ff212954635a54622257a5b422e,Asia/Shanghai,4.0.0,表示checkin检测失败，设备无法登录,FALSE,4,2405311717
